DATE,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
12/29/1978,193.4,124.7,#N/A,100.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/1979,304.7,185.1,"67,944.10",143.1,358.7,507.3,"2,481.90",#N/A,#N/A,"1,030.00","191,282.00","1,163.90","6,201.40",#N/A,#N/A,"148,048.80",#N/A,257,274.3
12/31/1980,614.5,378.2,"138,760.10",263.8,717.9,"1,027.50","4,831.70",#N/A,#N/A,"2,044.60","383,817.70","2,278.40","12,496.00",#N/A,#N/A,"366,823.50",#N/A,478.3,538.7
12/31/1981,459.3,360.9,"100,895.80",227,550.1,901,"3,966.60",#N/A,#N/A,"1,554.10","288,926.50","1,691.00","9,908.70",#N/A,#N/A,"315,191.80",#N/A,400.4,399.1
12/31/1982,375.3,345.6,"93,780.80",215.5,462.4,765.1,"3,553.60",#N/A,#N/A,"1,287.50","247,508.70","1,378.70","8,590.00",#N/A,#N/A,"276,229.00",#N/A,408.5,371.5
12/30/1983,423.7,439.9,"100,676.30",279.2,521.8,889,"4,270.40",#N/A,0.1,"1,465.70","383,187.60","1,557.50","9,709.80",#N/A,#N/A,"331,230.30",#N/A,471.3,469.7
12/31/1984,360.8,425.9,"85,515.00",269.8,466.4,844.6,"4,067.60",#N/A,0.1,"1,272.30","369,744.30","1,324.70","8,459.00",#N/A,#N/A,"292,467.70",#N/A,527.2,409.9
12/31/1985,317.3,394.1,"75,698.60",246.3,432.3,779.1,"3,887.40",926.6,0.2,"1,149.80","351,424.40","1,162.20","8,490.60",#N/A,#N/A,"274,967.10",#N/A,703.4,452.9
12/31/1986,367.9,351.3,"61,804.00",251.1,511.4,658.7,"4,625.10","1,272.40",0.2,"1,366.00","478,895.90","1,351.90","9,567.80",#N/A,#N/A,"324,124.10",#N/A,839.7,551.9
12/31/1987,446.2,366.1,"64,463.30",272.5,592.3,665.4,"5,761.90","1,659.60",0.4,"1,676.10","734,972.00","1,641.50","11,390.60",#N/A,#N/A,"366,474.50",#N/A,909.4,636.6
12/30/1988,436.9,352.1,"55,987.00",245.6,537.8,638.5,"6,039.40","1,626.10",0.6,"1,637.90","737,863.60","1,604.00","11,000.80",#N/A,980,"320,007.60",#N/A,991.5,559.8
12/29/1989,380.8,325.5,"52,540.60",232.7,451.2,622.9,"6,148.70","1,434.30",0.8,"1,429.70","676,626.30","1,399.80","9,749.40","1,833,959.90",957.5,"256,079.80",#N/A,998.2,481.5
12/31/1990,383.6,282.9,"55,447.50",216,447.6,533,"6,697.60","1,827.10",1,"1,437.70","706,760.50","1,407.80","9,777.80","1,889,082.60","1,035.80","271,075.80",#N/A,991.1,491.2
12/31/1991,362.3,278.4,"48,704.30",205.5,415,519.3,"8,225.70","1,927.40",1.5,"1,357.70","707,857.50","1,329.60","9,223.20","3,244,975.20","1,174.50","265,570.60",#N/A,999.9,465.1
12/31/1992,344,253.4,"43,536.00",195.5,415.5,482.8,"9,636.90","1,902.40",2.4,"1,289.50","700,192.60","1,262.90","8,726.70","3,846,973.30","1,144.50","268,572.30",#N/A,979.9,468.4
12/31/1993,359.8,301.3,"39,882.70",239.7,464.8,532.2,"11,203.60","2,077.20",4,"1,350.20","753,918.90","1,322.00","9,111.60","3,827,300.50","1,204.60","289,122.60",338.7,"1,179.10",530.5
12/30/1994,384.2,319.4,"39,235.30",250.8,524.5,524.6,"12,051.80","3,306.30",11.6,"1,440.70","829,686.70","1,396.40","9,660.40","4,202,318.30","1,292.20","308,748.90",832.7,"1,364.40",525.3
12/29/1995,384.1,291.9,"36,091.90",243.3,527.2,453.8,"12,439.30","3,206.90",17.6,"1,440.40","861,887.90","1,410.60","9,569.50","4,265,278.50","1,307.60","296,095.70","1,752.00","1,393.00",518.5
12/31/1996,387.9,300.9,"42,146.40",248.9,528.9,478.6,"13,721.40","3,224.90",31.6,"1,454.70","902,516.70","1,424.60","9,830.70","4,276,945.50","1,318.80","311,834.20","2,006.00","1,663.00",496
12/31/1997,331.3,292.5,"40,007.80",202.4,458.2,480.5,"12,006.10","2,746.40",50.1,"1,242.50","938,624.40","1,216.70","10,226.50","3,872,283.00","1,125.20","310,943.90","1,914.90","1,523.80",445
12/31/1998,294.1,264.3,"38,498.90",177.5,436.1,426.3,"12,132.60","2,434.70",77,"1,103.10","3,029,918.90","1,080.20","12,148.00","4,052,365.10","1,003.50","412,221.90","2,945.30","1,626.90",467.8
12/31/1999,278.6,261.4,"31,645.30",172.1,414,418.4,"11,996.30","2,306.10",117.3,"1,044.80","2,189,677.80","1,023.10","10,549.60","3,881,737.20",952,"331,190.00","6,925.50","1,703.00",431.8
12/29/2000,279.1,302.8,"30,075.30",184.4,414.4,471.5,"12,534.40","2,310.50",174.1,"1,046.80","2,338,605.90","1,025.10","11,204.20","3,952,055.70",985.8,"315,170.00","7,860.20","1,933.30",481
12/31/2001,271,302.8,"32,901.90",188.2,419.7,457.2,"12,789.00","2,243.40",335.6,"1,016.50","2,777,359.00",995.5,"12,061.00","4,012,616.20","1,097.60","349,421.30","7,914.00","2,328.80",524.3
12/31/2002,309.7,328,"38,723.00",206.1,486.1,481.1,"15,048.40","2,563.20",470.3,"1,161.40","2,880,768.40","1,137.50","13,310.80","4,728,429.60","1,433.30","386,274.10","9,722.70","3,247.90",569.6
12/31/2003,363.3,321.2,"42,046.80",222.2,508,488.4,"16,905.90","3,007.20",545.2,"1,362.50","3,112,533.80","1,334.50","15,064.40","5,635,365.50","2,135.60","432,483.50","11,140.20","2,736.50",558.3
12/31/2004,409.2,329.1,"44,236.40",223.3,531.5,508,"18,540.90","3,386.60",584.8,"1,534.50","3,656,378.80","1,502.90","16,476.00","6,440,400.40","2,538.60","468,426.50","11,785.90","2,633.80",556
12/30/2005,444.5,358.3,"49,065.30",244.8,537.8,554.8,"19,615.40","3,639.50",598.7,"1,666.90","4,321,718.80","1,632.50","17,911.70","7,047,858.30","2,573.50","455,485.70","12,582.90","2,833.10",583.4
12/29/2006,603.8,480.5,"70,168.70",327.6,684.2,755.7,"27,373.70","4,813.30",870,"2,264.50","5,530,818.20","2,217.60","22,873.30","9,655,884.70","3,466.80","576,117.40","16,393.90","4,096.00",801.3
12/31/2007,695.4,506.8,"81,747.10",347,743.7,832.8,"28,688.10","5,284.80",904.7,"2,605.50","6,356,836.20","2,553.60","23,975.50","11,184,780.30","3,921.90","645,806.30","17,751.80","4,893.90",828.5
12/31/2008,872,593.2,"90,414.50",471.8,924.9,941.5,"37,761.80","6,064.40","1,130.20","3,270.90","8,392,878.90","3,202.60","29,022.90","14,325,519.30","4,739.90","950,942.00","21,581.70","7,147.90","1,033.10"
12/31/2009,972.4,696.9,"90,786.10",621.1,"1,105.00","1,052.00","47,005.70","6,642.60","1,508.70","3,646.70","10,058,660.30","3,571.40","33,319.10","17,320,381.30","5,394.80","1,236,790.50","30,787.40","8,131.30","1,235.00"
12/31/2010,"1,224.50",925.1,"107,090.10",792.3,"1,261.00","1,273.90","55,974.00","8,283.00","1,843.20","4,592.20","11,115,159.10","4,497.60","38,729.70","23,459,864.30","6,910.80","1,416,472.20","37,236.00","8,945.60","1,331.70"
12/30/2011,"1,571.50","1,129.70","124,898.80",980.6,"1,556.30","1,388.60","73,468.50","10,147.60","2,655.50","5,893.70","13,789,785.20","5,772.20","47,905.40","32,493,780.90","9,346.00","1,741,006.00","46,275.70","11,458.20","1,523.40"
12/31/2012,"1,669.00","1,298.40","133,089.60","1,052.90","1,667.10","1,564.90","89,057.50","10,530.50","3,003.10","6,259.20","15,653,930.50","6,130.20","51,835.90","34,818,672.10","10,129.90","1,879,336.70","51,808.80","13,698.10","1,610.40"
12/31/2013,"1,411.20","1,063.60","137,198.80",903.7,"1,451.00","1,309.00","82,241.60","8,684.30","2,674.50","5,292.60","14,602,375.50","5,183.50","43,226.70","29,641,873.90","9,688.30","1,545,491.00","44,829.60","13,543.50","1,454.50"
12/31/2014,"1,266.40",952.9,"133,678.30",768.2,"1,397.40","1,157.30","77,229.80","7,802.00","2,767.60","4,750.20","15,007,297.20","4,651.50","41,115.60","26,822,929.20","8,971.20","1,332,782.80","48,490.60","13,724.40","1,402.60"
12/31/2015,"1,160.10","1,045.20","140,383.80",758.9,"1,480.80","1,115.50","74,313.00","7,285.10","3,152.80","4,351.70","15,523,982.80","4,260.90","39,672.20","25,394,063.40","8,938.40","1,311,776.50","70,867.30","14,745.50","1,542.70"
12/30/2016,"1,250.80","1,129.10","135,418.30",927,"1,655.10","1,230.70","84,006.90","8,305.80","3,772.10","4,691.40","16,615,801.30","4,594.20","44,092.80","27,964,290.80","12,420.40","1,449,117.60","83,668.50","18,349.50","1,679.70"
12/29/2017,"1,257.20","1,114.20","140,957.40",976.2,"1,631.30","1,237.20","81,853.60","8,487.20","4,582.90","4,714.80","16,818,791.80","4,617.40","42,640.90","28,557,362.50","22,420.50","1,421,773.80","73,359.40","16,746.50","1,639.60"
12/31/2018,"1,268.50","1,073.60","140,039.70",949.7,"1,642.30","1,240.50","86,650.60","8,384.10","6,099.60","4,760.10","18,038,763.80","4,659.10","40,975.30","29,184,398.90","22,593.20","1,395,056.80","79,407.90","16,745.40","1,695.70"
12/31/2019,"1,392.60","1,244.90","151,689.30","1,093.00","1,847.10","1,383.40","98,093.10","9,634.90","7,907.40","5,224.00","19,691,712.40","5,115.00","43,183.80","32,342,786.80","23,383.00","1,625,477.60","90,090.90","20,154.90","2,006.20"
12/31/2020,"1,769.60","1,549.00","188,771.20","1,379.10","2,371.20","1,658.10","131,202.90","12,199.80","12,504.00","6,640.90","25,799,982.10","6,499.70","55,344.60","41,105,675.00","27,991.00","2,085,669.10","128,391.50","29,171.40","2,563.10"
12/31/2021,"1,798.60","1,520.70","197,452.30","1,307.50","2,254.30","1,643.90","132,985.90","11,602.00","15,976.60","6,746.30","25,734,126.40","6,606.30","57,538.50","41,251,056.00","28,232.10","2,059,236.10","132,521.30","26,589.10","2,395.20"
12/30/2022,"1,800.10","1,710.40","236,044.00","1,457.90","2,340.60","1,718.50","141,287.30","12,096.90","29,710.00","6,758.90","26,699,648.80","6,611.70","63,015.00","42,105,952.40","34,416.80","2,322,615.30","126,858.50","29,397.30","2,592.50"
12/29/2023,"1,940.50","1,795.00","272,978.00","1,560.70","2,619.20","1,744.30","160,226.20","13,750.70","46,269.20","7,280.50","29,569,630.70","7,127.20","67,552.80","46,252,668.60","59,587.40","2,535,512.40","166,081.70","35,825.90","2,924.10"
